run,seed,i,j,true_name,selected,hit,tau_hat,start
24,3024,1,0,CubSec,CubSec,1,0.1633,sweep:CubSec/Student
24,3024,1,1,Clayton,Clayton,1,0.1875,sweep:CubSec/Student
25,3025,0,0,Student,Student,1,0.2181,indep
25,3025,0,1,CubSec,CubSec,1,0.1224,indep
25,3025,1,0,CubSec,CubSec,1,0.1075,indep
25,3025,1,1,Clayton,Clayton,1,0.1731,indep
26,3026,0,0,Student,Student,1,0.2068,kmeans
26,3026,0,1,CubSec,CubSec,1,0.1374,kmeans
26,3026,1,0,CubSec,CubSec,1,0.1622,kmeans
26,3026,1,1,Clayton,Clayton,1,0.2104,kmeans
27,3027,0,0,Student,Student,1,0.1672,indep
27,3027,0,1,CubSec,CubSec,1,0.0128,indep
27,3027,1,0,CubSec,CubSec,1,0.1502,indep
27,3027,1,1,Clayton,Clayton,1,0.1778,indep
28,3028,0,0,Student,Student,1,0.2528,sweep:Student/Clayton
28,3028,0,1,CubSec,CubSec,1,0.1348,sweep:Student/Clayton
28,3028,1,0,CubSec,Clayton,0,0.2440,sweep:Student/Clayton
28,3028,1,1,Clayton,Clayton,1,0.2174,sweep:Student/Clayton
29,3029,0,0,Student,Student,1,0.3041,sweep:Student/Student
29,3029,0,1,CubSec,CubSec,1,0.1077,sweep:Student/Student
29,3029,1,0,CubSec,Clayton,0,0.1465,sweep:Student/Student
29,3029,1,1,Clayton,Clayton,1,0.2098,sweep:Student/Student
